iter	Passed	Remaining
0	0	750
1	1	686
2	1	650
3	2	646
4	3	633
5	3	638
6	4	623
7	4	613
8	5	604
9	6	603
10	6	599
11	7	597
12	7	599
13	8	599
14	9	600
15	9	599
16	10	599
17	10	599
18	11	598
19	12	598
20	12	597
21	13	597
22	14	596
23	14	598
24	15	598
25	16	601
26	16	601
27	17	601
28	17	602
29	18	602
30	19	605
31	20	608
32	20	610
33	21	610
34	22	613
35	22	615
36	23	617
37	24	618
38	25	619
39	25	619
40	26	620
41	27	624
42	28	625
43	28	625
44	29	626
45	30	624
46	30	622
47	31	622
48	32	623
49	32	622
50	33	623
51	34	622
52	34	621
53	35	621
54	36	620
55	36	619
56	37	619
57	38	618
58	38	619
59	39	619
60	40	619
61	41	622
62	41	622
63	42	622
64	43	623
65	44	623
66	44	623
67	45	622
68	46	623
69	46	623
70	47	622
71	48	623
72	49	623
73	49	623
74	50	624
75	51	625
76	52	625
77	52	625
78	53	625
79	54	625
80	55	626
81	56	627
82	56	623
83	57	624
84	58	626
85	59	627
86	59	627
87	60	628
88	61	629
89	62	629
90	62	628
91	63	628
92	64	628
93	65	629
94	66	629
95	66	628
96	67	628
97	68	628
98	68	627
99	69	627
100	70	627
101	71	626
102	71	626
103	72	625
104	73	624
105	73	623
106	74	623
107	75	622
108	76	621
109	76	620
110	77	620
111	78	619
112	78	619
113	79	618
114	80	617
115	80	616
116	81	614
117	82	614
118	82	613
119	83	613
120	84	612
121	84	611
122	85	610
123	86	608
124	86	608
125	87	606
126	88	605
127	88	604
128	89	603
129	90	602
130	90	602
131	91	601
132	92	600
133	92	600
134	93	599
135	94	598
136	94	597
137	95	597
138	96	596
139	97	596
140	97	594
141	98	592
142	98	591
143	99	591
144	100	590
145	100	589
146	101	589
147	102	588
148	102	587
149	103	587
150	104	586
151	105	586
152	105	585
153	106	585
154	107	584
155	107	584
156	108	583
157	109	582
158	110	582
159	110	581
160	111	579
161	111	578
162	112	577
163	113	576
164	113	575
165	114	575
166	115	574
167	115	573
168	116	573
169	117	572
170	118	572
171	118	571
172	119	570
173	120	569
174	120	568
175	121	567
176	122	567
177	122	566
178	123	566
179	124	566
180	125	566
181	125	565
182	126	565
183	127	565
184	128	564
185	128	563
186	129	563
187	130	562
188	131	562
189	131	561
190	132	561
191	133	560
192	133	559
193	134	558
194	135	557
195	135	557
196	136	556
197	137	556
198	138	555
199	138	554
200	139	554
201	140	554
202	140	553
203	141	553
204	142	552
205	143	551
206	143	551
207	144	551
208	145	551
209	146	550
210	147	550
211	147	549
212	148	548
213	149	548
214	149	547
215	150	546
216	151	545
217	151	544
218	152	543
219	153	543
220	153	542
221	154	541
222	155	540
223	155	539
224	156	538
225	157	537
226	157	537
227	158	536
228	159	535
229	159	534
230	160	534
231	161	533
232	161	532
233	162	532
234	163	531
235	163	530
236	164	529
237	165	528
238	165	527
239	166	526
240	167	526
241	167	525
242	168	524
243	169	523
244	169	522
245	170	522
246	170	521
247	171	520
248	172	519
249	172	518
250	173	517
251	174	516
252	174	515
253	175	515
254	176	514
255	176	513
256	177	512
257	177	511
258	178	510
259	179	510
260	179	509
261	180	508
262	181	507
263	181	506
264	182	505
265	183	505
266	183	504
267	184	503
268	184	502
269	185	502
270	186	501
271	186	500
272	187	499
273	188	498
274	188	497
275	189	496
276	189	495
277	190	495
278	191	494
279	191	493
280	192	493
281	193	492
282	194	491
283	194	490
284	195	490
285	196	490
286	196	489
287	197	488
288	198	488
289	199	487
290	199	487
291	200	486
292	201	485
293	201	484
294	202	484
295	203	483
296	203	482
297	204	482
298	205	481
299	205	480
300	206	479
301	207	479
302	208	478
303	208	477
304	209	477
305	210	476
306	210	475
307	211	474
308	212	474
309	212	473
310	213	472
311	213	471
312	214	471
313	215	470
314	215	469
315	216	468
316	217	468
317	218	467
318	218	466
319	219	466
320	220	465
321	220	464
322	221	463
323	221	463
324	222	462
325	223	461
326	223	460
327	224	460
328	225	459
329	225	458
330	226	457
331	227	456
332	227	456
333	228	455
334	229	454
335	229	454
336	230	453
337	231	452
338	231	451
339	232	450
340	233	450
341	233	449
342	234	449
343	235	448
344	235	447
345	236	447
346	237	446
347	237	445
348	238	444
349	239	444
350	239	443
351	240	442
352	241	442
353	241	441
354	242	440
355	243	439
356	243	438
357	244	438
358	244	437
359	245	436
360	246	435
361	246	435
362	247	434
363	248	434
364	249	433
365	249	432
366	250	431
367	251	431
368	251	430
369	252	429
370	253	429
371	253	428
372	254	427
373	255	426
374	255	426
375	256	425
376	257	424
377	257	424
378	258	423
379	259	422
380	259	421
381	260	421
382	261	420
383	261	419
384	262	419
385	263	418
386	263	417
387	264	417
388	265	416
389	265	415
390	266	415
391	267	414
392	267	413
393	268	412
394	269	412
395	269	411
396	270	410
397	271	410
398	271	409
399	272	408
400	273	408
401	273	407
402	274	406
403	275	406
404	275	405
405	276	404
406	277	404
407	277	403
408	278	402
409	279	401
410	279	401
411	280	400
412	281	399
413	281	399
414	282	398
415	283	397
416	284	397
417	284	396
418	285	395
419	286	395
420	286	394
421	287	393
422	288	393
423	289	392
424	289	392
425	290	391
426	291	390
427	291	390
428	292	389
429	293	388
430	293	387
431	294	387
432	295	386
433	295	385
434	296	385
435	297	384
436	298	384
437	298	383
438	299	382
439	299	381
440	300	381
441	301	380
442	301	379
443	302	378
444	303	378
445	303	377
446	304	376
447	305	375
448	305	375
449	306	374
450	307	373
451	307	373
452	308	372
453	309	371
454	309	371
455	310	370
456	311	369
457	311	368
458	312	368
459	313	367
460	313	366
461	314	366
462	315	365
463	315	364
464	316	364
465	317	363
466	317	362
467	318	361
468	318	361
469	319	360
470	320	359
471	321	359
472	321	358
473	322	357
474	322	356
475	323	356
476	324	355
477	324	354
478	325	353
479	325	353
480	326	352
481	327	351
482	328	351
483	328	350
484	329	349
485	330	349
486	330	348
487	331	347
488	332	346
489	332	346
490	333	345
491	333	344
492	334	344
493	335	343
494	336	342
495	336	342
496	337	341
497	338	341
498	339	340
499	339	339
500	340	339
501	341	338
502	341	337
503	342	336
504	343	336
505	343	335
506	344	334
507	344	334
508	345	333
509	346	332
510	347	332
511	347	331
512	348	330
513	349	330
514	349	329
515	350	328
516	351	328
517	351	327
518	352	326
519	353	326
520	354	325
521	354	324
522	355	324
523	356	323
524	357	323
525	357	322
526	358	321
527	359	321
528	359	320
529	360	319
530	361	319
531	361	318
532	362	317
533	363	317
534	364	316
535	364	315
536	365	314
537	365	314
538	366	313
539	367	312
540	367	311
541	368	311
542	368	310
543	369	309
544	370	309
545	370	308
546	371	307
547	372	307
548	373	306
549	373	305
550	374	305
551	374	304
552	375	303
553	376	302
554	376	302
555	377	301
556	378	300
557	378	299
558	379	299
559	380	298
560	380	297
561	381	297
562	382	296
563	382	295
564	383	295
565	384	294
566	385	294
567	385	293
568	386	292
569	387	292
570	387	291
571	388	290
572	389	290
573	390	289
574	390	288
575	391	288
576	392	287
577	392	286
578	393	286
579	394	285
580	394	284
581	395	283
582	396	283
